2026-06-24 17:16:49 | WARNING  | pdf_reader | PyPDF2 is deprecated — install pypdf for better compatibility: pip install pypdf
2026-06-24 17:28:59 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 17:29:01 | INFO     | orchestrator | Doc type: RENT_AGREEMENT | Locale: Maharashtra, India | took 3.7s
2026-06-24 17:29:01 | INFO     | text_chunker | Chunked document: 5390 chars → 8 chunks (avg 673 chars/chunk)
2026-06-24 17:29:01 | INFO     | pipeline | Doc type: RENT_AGREEMENT | Locale: Maharashtra, India | Chunks: 8 | took 3.7s
2026-06-24 17:29:01 | INFO     | clause_extractor | Extracting clauses | chunks=8 | doc_type=RENT_AGREEMENT
2026-06-24 17:29:01 | INFO     | clause_extractor | Extraction batch 1: 3 chunk(s)
2026-06-24 17:29:01 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 17:29:03 | INFO     | clause_extractor | Extraction batch 2: 3 chunk(s)
2026-06-24 17:29:03 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 17:29:04 | INFO     | clause_extractor | Extraction batch 3: 2 chunk(s)
2026-06-24 17:29:04 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 17:29:04 | INFO     | clause_extractor | Extraction: 3 batch(es) resolved in 3.7s (deadline=65.0s, skipped=0)
2026-06-24 17:29:04 | INFO     | clause_extractor | Deduplication: 33 → 29 (removed 4 duplicate(s))
2026-06-24 17:29:04 | INFO     | clause_extractor | Extracted 29 verified clauses | skipped_batches=0/3
2026-06-24 17:29:04 | INFO     | pipeline | Clauses extracted: 29 | skipped_batches=0 | took 3.7s
2026-06-24 17:29:04 | INFO     | risk_analyzer | Assessing 29 clauses | doc_type=RENT_AGREEMENT
2026-06-24 17:29:04 | INFO     | risk_analyzer | Assessing batch 1 (6 clauses)
2026-06-24 17:29:04 | INFO     | llm | Using GROQ_API_KEY_3 (smart/70b)
2026-06-24 17:29:07 | INFO     | risk_analyzer | Assessing batch 2 (6 clauses)
2026-06-24 17:29:07 | INFO     | llm | Using GROQ_API_KEY_1 (smart/70b)
2026-06-24 17:29:08 | INFO     | risk_analyzer | Assessing batch 3 (6 clauses)
2026-06-24 17:29:08 | INFO     | llm | Using GROQ_API_KEY_2 (smart/70b)
2026-06-24 17:29:10 | INFO     | risk_analyzer | Assessing batch 4 (6 clauses)
2026-06-24 17:29:10 | INFO     | llm | Using GROQ_API_KEY_3 (smart/70b)
2026-06-24 17:29:11 | INFO     | risk_analyzer | Assessing batch 5 (5 clauses)
2026-06-24 17:29:11 | INFO     | llm | Using GROQ_API_KEY_1 (smart/70b)
2026-06-24 17:29:14 | INFO     | risk_analyzer | All 5 batches resolved in 9.7s (deadline=90.0s, skipped_batches=0)
2026-06-24 17:29:14 | INFO     | risk_analyzer | Assessment complete: 29 clauses | HIGH=4 | MEDIUM=7 | LOW=9 | SAFE=9 | NEEDS_MANUAL_REVIEW=0
2026-06-24 17:29:14 | INFO     | pipeline | Risks assessed: 29 | took 9.7s
2026-06-24 17:29:14 | INFO     | simplifier | Simplify batch 1: 7 clause(s)
2026-06-24 17:29:14 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 17:29:15 | INFO     | simplifier | Simplify batch 2: 7 clause(s)
2026-06-24 17:29:15 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 17:29:16 | INFO     | simplifier | Simplify batch 3: 7 clause(s)
2026-06-24 17:29:16 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 17:29:16 | INFO     | simplifier | Simplify batch 2: accepted=7 rejected=0 on attempt 1
2026-06-24 17:29:17 | INFO     | simplifier | Simplify batch 4: 7 clause(s)
2026-06-24 17:29:17 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 17:29:18 | INFO     | simplifier | Simplify batch 5: 1 clause(s)
2026-06-24 17:29:18 | INFO     | llm | Using GROQ_API_KEY_3 (fast/8b)
2026-06-24 17:29:18 | INFO     | simplifier | Simplify batch 4: accepted=7 rejected=0 on attempt 1
2026-06-24 17:29:23 | INFO     | simplifier | Simplify batch 5: accepted=1 rejected=0 on attempt 1
2026-06-24 17:29:25 | INFO     | simplifier | Simplify batch 1: accepted=7 rejected=0 on attempt 1
2026-06-24 17:29:34 | INFO     | simplifier | Simplify batch 3: accepted=7 rejected=0 on attempt 1
2026-06-24 17:29:34 | INFO     | simplifier | Simplified 29 clause(s) across 5 batch(es) in 20.1s (deadline=60.0s) | fell_back_to_reason=0
2026-06-24 17:29:34 | INFO     | pipeline | Simplifier: 29 clauses | took 20.1s
2026-06-24 17:29:34 | WARNING  | reporter | 10 clause(s) have generic/boilerplate negotiation tips — check risk_analyzer prompt quality
2026-06-24 17:29:34 | INFO     | reporter | Report generated | doc=RENT_AGREEMENT | score=5.0 | high=4 | medium=7 | low=9 | safe=9 | unanalyzed=0 | coverage=29 clauses from 8 sections
2026-06-24 17:29:34 | INFO     | pipeline | Reporter: done | took 0.0s
2026-06-24 17:29:34 | INFO     | pipeline | Pipeline complete | step=complete | total=37.2s
2026-06-24 23:52:28 | INFO     | pdf_reader | OCR available
2026-06-24 23:58:02 | INFO     | pdf_reader | Direct extraction: 20872 chars from 9 pages
2026-06-24 23:58:02 | INFO     | pipeline | Pipeline started
2026-06-24 23:58:02 | INFO     | pipeline | Validation passed | chars=20872
2026-06-24 23:58:02 | INFO     | orchestrator | Detecting document type + locale | chars=20872
2026-06-24 23:58:02 | INFO     | llm | Using GROQ_API_KEY_1 (fast/8b)
2026-06-24 23:58:04 | INFO     | llm | Using GROQ_API_KEY_2 (fast/8b)
2026-06-24 23:58:05 | INFO     | orchestrator | Doc type: OFFER_LETTER | Locale: India | took 2.7s
2026-06-24 23:58:05 | INFO     | text_chunker | Chunked document: 20872 chars → 17 chunks (avg 1227 chars/chunk)
2026-06-24 23:58:05 | INFO     | pipeline | Doc type: OFFER_LETTER | Locale: India | Chunks: 17 | took 2.7s
